[[256, 2.0, 182], [1, 942, 1/1, 6.566405352412101], 2.883887]
[[256, 2.0, 182], [2, 942, 1/2, 16.850202823146432], 5.208751]
[[256, 2.0, 182], [3, 942, 1/2, 25.07973195078115], 7.143787]
[[256, 2.0, 182], [4, 942, 1/2, 31.53513528120976], 8.775888]
[[256, 2.0, 182], [5, 942, 1/2, 32.15844021944117], 10.076349]
[[256, 2.0, 182], [6, 942, 1/2, 34.36451560830142], 11.988888]
[[256, 2.0, 182], [7, 942, 1/2, 45.18084940756736], 13.503087]
[[256, 2.0, 182], [8, 942, 1/4, 54.02706837751131], 14.345958]
[[256, 2.0, 182], [9, 942, 1/4, 61.2749772090047], 16.054665]
[[256, 2.0, 182], [10, 942, 1/4, 63.63060522645998], 19.09838]
[[256, 2.0, 182], [11, 942, 1/4, 67.45635259208915], 20.112661]
[[256, 2.0, 182], [12, 942, 1/4, 74.86511121298602], 22.99311]
[[256, 2.0, 182], [13, 942, 1/4, 81.89586281760327], 24.797107]
[[256, 2.0, 182], [14, 942, 1/4, 87.9197992045731], 25.958971]
[[256, 2.0, 182], [15, 942, 1/4, 92.26725017911522], 29.708517]
[[256, 2.0, 182], [16, 942, 1/4, 94.10856144143449], 30.034878]
[[256, 2.0, 63316], [1, 43412, 1/1, 6.202081833964433], 2.360463]
[[256, 2.0, 63316], [16, 43412, 1/7, 97.42112994838095], 22.799283]
[[256, 2.0, 63316], [2, 43412, 1/2, 14.017369795825477], 4.142314]
[[256, 2.0, 63316], [3, 43412, 1/2, 16.58928011407965], 5.758155]
[[256, 2.0, 63316], [4, 43412, 1/2, 19.87425480852052], 7.200078]
[[256, 2.0, 63316], [5, 43412, 1/3, 24.357262069689583], 8.73801]
[[256, 2.0, 63316], [6, 43412, 1/4, 35.709276104232565], 10.530936]
[[256, 2.0, 63316], [7, 43412, 1/5, 43.54748234382023], 11.540445]
[[256, 2.0, 63316], [8, 43412, 1/6, 47.46968258530182], 13.036583]
[[256, 2.0, 63316], [9, 43412, 1/6, 48.20173955309895], 14.223447]
[[256, 2.0, 63316], [10, 43412, 1/6, 55.57932039739699], 15.79601]
[[256, 2.0, 63316], [11, 43412, 1/6, 62.92183440439508], 16.659427]
[[256, 2.0, 63316], [12, 43412, 1/7, 71.18823087170607], 18.197834]
[[256, 2.0, 63316], [13, 43412, 1/7, 80.73471512306622], 19.942823]
[[256, 2.0, 63316], [14, 43412, 1/7, 88.96179712838904], 20.615517]
[[256, 2.0, 63316], [15, 43412, 1/7, 91.84214286926728], 21.93087]
[[256, 2.0, 48343], [1, 11402, 1/1, 1.7581941399665169], 2.603588]
[[256, 2.0, 48343], [2, 11402, 1/1, 6.862894791082254], 4.483299]
[[256, 2.0, 48343], [3, 11402, 2/3, 12.102677615719077], 6.414446]
[[256, 2.0, 21170], [1, 86979, 1/2, 9.365589690029045], 2.291314]
