[[319, 1.7099759466766968, 21331], [1, 73378, 1/2, 5.412209816624531], 2.43208]
[[319, 1.7099759466766968, 21331], [2, 73378, 1/2, 9.563569421535359], 4.248099]
[[319, 1.7099759466766968, 21331], [3, 73378, 1/2, 11.296349051443068], 5.971409]
[[319, 1.7099759466766968, 21331], [4, 73378, 1/2, 14.691948308712346], 7.743382]
[[373, 1.7099759466766968, 86117], [1, 46760, 1/1, 8.96487809003372], 3.265453]
[[319, 1.7099759466766968, 21331], [5, 73378, 1/2, 17.273103307703863], 9.83051]
[[319, 1.7099759466766968, 21331], [6, 73378, 1/3, 20.82441918160481], 11.499037]
[[373, 1.7099759466766968, 86117], [2, 46760, 1/2, 13.00841962921724], 5.535112]
[[319, 1.7099759466766968, 21331], [7, 73378, 1/3, 27.491625688419365], 13.660197]
[[319, 1.7099759466766968, 21331], [8, 73378, 1/3, 36.53787721992251], 15.800969]
[[373, 1.7099759466766968, 86117], [3, 46760, 1/2, 17.14024469910363], 8.404422]
[[319, 1.7099759466766968, 21331], [9, 73378, 1/4, 40.12828442829645], 18.885534]
[[319, 1.7099759466766968, 21331], [10, 73378, 1/4, 48.32157703206279], 20.983504]
[[373, 1.7099759466766968, 86117], [4, 46760, 1/2, 29.30635292615206], 11.413462]
[[319, 1.7099759466766968, 21331], [11, 73378, 1/4, 50.75609767552787], 24.514193]
[[373, 1.7099759466766968, 86117], [5, 46760, 1/4, 37.072221854509955], 14.486326]
[[319, 1.7099759466766968, 21331], [12, 73378, 1/5, 54.18805082265032], 27.426845]
[[319, 1.7099759466766968, 21331], [13, 73378, 1/5, 59.121026391793876], 29.522293]
[[373, 1.7099759466766968, 86117], [6, 46760, 1/4, 43.27934979301193], 16.608372]
[[163, 1.7099759466766968, 89076], [1, 1720, 1/2, 5.9177871063567675], 1.352371]
[[163, 1.7099759466766968, 89076], [2, 1720, 1/4, 10.919350130545507], 2.56367]
[[373, 1.7099759466766968, 86117], [7, 46760, 1/4, 51.05276447003299], 20.355458]
[[319, 1.7099759466766968, 21331], [14, 73378, 1/5, 60.986086802219916], 35.123301]
[[163, 1.7099759466766968, 89076], [3, 1720, 1/4, 15.27738681406502], 3.26703]
[[373, 1.7099759466766968, 86117], [8, 46760, 1/4, 57.52661982090649], 23.32902]
[[163, 1.7099759466766968, 89076], [4, 1720, 1/5, 21.280248306558565], 4.336741]
[[319, 1.7099759466766968, 21331], [15, 73378, 1/5, 63.28040466562466], 40.845443]
[[163, 1.7099759466766968, 89076], [5, 1720, 1/5, 23.22687942688778], 5.304003]
[[163, 1.7099759466766968, 89076], [6, 1720, 1/5, 26.479401647038177], 6.254669]
[[373, 1.7099759466766968, 86117], [9, 46760, 1/4, 69.76015285202324], 27.58523]
[[163, 1.7099759466766968, 89076], [7, 1720, 1/5, 32.09339318970322], 7.309975]
[[163, 1.7099759466766968, 89076], [8, 1720, 1/5, 36.22367298894585], 8.603378]
[[373, 1.7099759466766968, 86117], [10, 46760, 1/4, 72.58457592314946], 29.732721]
[[163, 1.7099759466766968, 89076], [9, 1720, 1/5, 37.606862496050184], 9.602951]
[[319, 1.7099759466766968, 21331], [16, 73378, 1/6, 70.93696310429901], 48.298752]
[[163, 1.7099759466766968, 89076], [10, 1720, 1/5, 41.302644665897255], 10.350214]
