A1
[[121, 2.0, 76039], [1, 72741, 1/1, 2.880251038584576], 4.861966]
[[121, 2.0, 76039], [2, 72741, 1/2, 7.655525264991066], 8.216791]
[[121, 2.0, 76039], [3, 72741, 1/2, 8.318603919332672], 11.490901]
[[121, 2.0, 76039], [4, 72741, 1/3, 11.941373600550257], 14.653819]
[[121, 2.0, 76039], [5, 72741, 1/3, 16.93117291771693], 18.377961]
[[121, 2.0, 76039], [6, 72741, 1/3, 17.752053853845098], 22.231884]
[[121, 2.0, 76039], [7, 72741, 1/3, 21.90722164039041], 25.154016]
[[121, 2.0, 76039], [8, 72741, 1/3, 28.799961926652422], 26.802739]
[[121, 2.0, 76039], [9, 72741, 1/4, 33.24482411698429], 30.001775]
[[121, 2.0, 76039], [10, 72741, 1/4, 35.92894729392401], 33.622168]
[[121, 2.0, 76039], [11, 72741, 1/4, 37.43572991352445], 37.51696]
[[121, 2.0, 76039], [12, 72741, 1/4, 39.3959130065323], 39.562881]
